# Zini     MH   logAge Mini        int_IMF         Mass   logL    logTe  logg  label   McoreTP C_O  period0  period1  period2  period3  period4  pmode  Mloss  tau1m   X   Y   Xc  Xn  Xo  Cexcess  Z 	 mbolmag  umag    gmag    rmag    imag    zmag
0.0152 0.01508 8.14613 1.1000000238 2.4916803837    1.099  0.080  3.7828  4.482    0  0.000  0.538     0.00     0.00     0.00     0.00     0.00 -1 -7.08e-14      0.00 7.107e-01 2.741e-01 2.697e-03 7.364e-04 6.689e-03 -1.000 1.525e-02 4.569 6.023 4.834 4.436 4.359 4.368
0.0152 0.01508 8.14613 1.1499999762 2.4996678829    1.149  0.173  3.7932  4.450    0  0.000  0.537     0.00     0.00     0.00     0.00     0.00 -1 -8.17e-14      0.00 7.112e-01 2.736e-01 2.692e-03 7.353e-04 6.679e-03 -1.000 1.512e-02 4.336 5.686 4.564 4.212 4.150 4.170
0.0152 0.01508 8.14613 1.2000000477 2.5068950653    1.200  0.264  3.8031  4.417    0  0.000  0.538     0.00     0.00     0.00     0.00     0.00 -1 -9.26e-14      0.00 7.113e-01 2.735e-01 2.693e-03 7.353e-04 6.679e-03 -1.000 1.518e-02 4.111 5.377 4.305 3.994 3.948 3.979
0.0152 0.01508 8.14613 1.2500000000 2.5134611130    1.250  0.350  3.8127  4.388    0  0.000  0.538     0.00     0.00     0.00     0.00     0.00 -1 -1.03e-13      0.00 7.114e-01 2.735e-01 2.693e-03 7.353e-04 6.679e-03 -1.000 1.518e-02 3.895 5.097 4.060 3.789 3.758 3.799
0.0152 0.01508 8.14613 1.2999999523 2.5194499493    1.300  0.431  3.8219  4.360    1  0.000  0.538     0.00     0.00     0.00     0.00     0.00 -1 -1.12e-13      0.00 7.115e-01 2.734e-01 2.692e-03 7.352e-04 6.678e-03 -1.000 1.517e-02 3.692 4.852 3.829 3.592 3.575 3.627
0.0152 0.01508 8.14613 1.3500001431 2.5249314308    1.350  0.508  3.8313  4.337    1  0.000  0.537     0.00     0.00     0.00     0.00     0.00 -1 -1.18e-13      0.00 7.114e-01 2.734e-01 2.692e-03 7.352e-04 6.678e-03 -1.000 1.515e-02 3.500 4.626 3.611 3.407 3.406 3.468
0.0152 0.01508 8.14613 1.4000000954 2.5299651623    1.400  0.581  3.8409  4.319    1  0.000  0.537     0.00     0.00     0.00     0.00     0.00 -1  -1.2e-13      0.00 7.115e-01 2.734e-01 2.692e-03 7.352e-04 6.678e-03 -1.000 1.513e-02 3.318 4.420 3.404 3.234 3.249 3.321
0.0152 0.01508 8.14613 1.4500000477 2.5346016884    1.450  0.649  3.8514  4.308    1  0.000  0.537     0.00     0.00     0.00     0.00     0.00 -1 -1.17e-13      0.00 7.115e-01 2.733e-01 2.691e-03 7.350e-04 6.677e-03 -1.000 1.520e-02 3.146 4.227 3.207 3.073 3.105 3.188
0.0152 0.01508 8.14613 1.4804561138 2.5372500420    1.481  0.690  3.8589  4.306    1  0.000  0.537     0.00     0.00     0.00     0.00     0.00 -1 -1.11e-13      0.00 7.116e-01 2.732e-01 2.691e-03 7.349e-04 6.676e-03 -1.000 1.519e-02 3.044 4.113 3.088 2.978 3.023 3.114
0.0152 0.01508 8.14613 1.5000000000 2.5388846397    1.500  0.716  3.8636  4.304    1  0.000  0.537     0.00     0.00     0.00     0.00     0.00 -1 -1.07e-13      0.00 7.116e-01 2.732e-01 2.691e-03 7.349e-04 6.675e-03 -1.000 1.518e-02 2.980 4.043 3.013 2.919 2.972 3.068
0.0152 0.01508 8.14613 1.5500001907 2.5428512096    1.550  0.780  3.8768  4.308    1  0.000  0.537     0.00     0.00     0.00     0.00     0.00 -1 -9.13e-14      0.00 7.117e-01 2.731e-01 2.690e-03 7.346e-04 6.674e-03 -1.000 1.519e-02 2.821 3.872 2.828 2.777 2.853 2.962
