#NUMBER OF AGES= 1 MAGS= 5
#----------------------------------------------------       
#MIX-LEN  Y      Z          Zeff        [Fe/H] [a/Fe]
# 1.9380  0.2640 1.2548E-02 1.2548E-02  -0.11   0.00 
#----------------------------------------------------       
#**PHOTOMETRIC SYSTEM**: SDSS (AB)
#----------------------------------------------------       
#AGE= 5.000 EEPS=271
#EEP   M/Mo    LogTeff  LogG   LogL/Lo sdss_u  sdss_g  sdss_r  sdss_i  sdss_z
 153  1.173873  3.7886  3.9669  0.6484  4.5749  3.3747  3.0126  2.9432  2.9605
 154  1.175518  3.7875  3.9574  0.6541  4.5720  3.3642  2.9976  2.9267  2.9426
 155  1.177176  3.7862  3.9473  0.6598  4.5706  3.3547  2.9832  2.9103  2.9248
 156  1.178854  3.7847  3.9366  0.6652  4.5711  3.3462  2.9694  2.8943  2.9071
 157  1.180555  3.7830  3.9253  0.6704  4.5743  3.3391  2.9564  2.8788  2.8896
 158  1.182278  3.7811  3.9130  0.6752  4.5818  3.3342  2.9446  2.8638  2.8723
 159  1.184013  3.7788  3.9002  0.6794  4.5958  3.3326  2.9339  2.8496  2.8553
 160  1.185744  3.7761  3.8872  0.6828  4.6149  3.3342  2.9252  2.8368  2.8395
 161  1.187422  3.7733  3.8740  0.6849  4.6402  3.3402  2.9195  2.8265  2.8257
 162  1.188911  3.7701  3.8612  0.6858  4.6730  3.3507  2.9176  2.8197  2.8153
 163  1.190342  3.7665  3.8487  0.6842  4.7193  3.3693  2.9217  2.8182  2.8094
 164  1.191716  3.7624  3.8365  0.6804  4.7812  3.3954  2.9319  2.8223  2.8087
 165  1.193000  3.7579  3.8253  0.6743  4.8575  3.4290  2.9485  2.8324  2.8138
 166  1.194176  3.7533  3.8153  0.6661  4.9420  3.4704  2.9710  2.8477  2.8236
 167  1.195253  3.7485  3.8063  0.6564  5.0334  3.5177  2.9980  2.8671  2.8370
 168  1.196267  3.7436  3.7975  0.6459  5.1325  3.5685  3.0278  2.8889  2.8527
 169  1.197268  3.7385  3.7883  0.6354  5.2376  3.6215  3.0586  2.9115  2.8690
 170  1.198331  3.7332  3.7767  0.6261  5.3488  3.6746  3.0877  2.9318  2.8824
 171  1.199518  3.7277  3.7613  0.6197  5.4598  3.7225  3.1108  2.9456  2.8890
 172  1.200890  3.7221  3.7409  0.6184  5.5613  3.7589  3.1220  2.9473  2.8834
 173  1.202263  3.7176  3.7172  0.6244  5.6298  3.7720  3.1147  2.9321  2.8620
 174  1.203435  3.7143  3.6944  0.6343  5.6653  3.7669  3.0953  2.9071  2.8324
 175  1.204505  3.7117  3.6726  0.6462  5.6835  3.7530  3.0703  2.8776  2.7995
 176  1.205501  3.7096  3.6514  0.6596  5.6867  3.7314  3.0403  2.8442  2.7633
 177  1.206406  3.7082  3.6317  0.6740  5.6778  3.7046  3.0076  2.8090  2.7259
 178  1.207246  3.7071  3.6131  0.6886  5.6618  3.6750  2.9734  2.7730  2.6884
 179  1.208043  3.7063  3.5952  0.7033  5.6409  3.6440  2.9390  2.7369  2.6510
 180  1.208815  3.7055  3.5778  0.7180  5.6171  3.6122  2.9042  2.7008  2.6137
 181  1.209563  3.7049  3.5607  0.7326  5.5916  3.5799  2.8691  2.6645  2.5763
 182  1.210269  3.7043  3.5444  0.7466  5.5663  3.5486  2.8354  2.6298  2.5407
 183  1.210979  3.7037  3.5281  0.7611  5.5388  3.5160  2.8006  2.5941  2.5041
 184  1.211686  3.7032  3.5112  0.7761  5.5096  3.4819  2.7645  2.5570  2.4661
 185  1.212392  3.7025  3.4936  0.7916  5.4806  3.4471  2.7273  2.5186  2.4268
 186  1.213098  3.7020  3.4759  0.8074  5.4488  3.4107  2.6889  2.4794  2.3867
 187  1.213805  3.7016  3.4582  0.8236  5.4145  3.3729  2.6494  2.4390  2.3457
 188  1.214513  3.7011  3.4399  0.8402  5.3808  3.3347  2.6092  2.3979  2.3038
 189  1.215218  3.7006  3.4210  0.8573  5.3460  3.2952  2.5677  2.3555  2.2606
 190  1.215919  3.7002  3.4017  0.8750  5.3084  3.2539  2.5245  2.3116  2.2158
 191  1.216620  3.6996  3.3816  0.8931  5.2728  3.2127  2.4809  2.2668  2.1701
 192  1.217317  3.6989  3.3609  0.9117  5.2353  3.1700  2.4358  2.2206  2.1230
 193  1.218008  3.6984  3.3394  0.9311  5.1963  3.1255  2.3889  2.1726  2.0740
 194  1.218693  3.6976  3.3163  0.9512  5.1611  3.0811  2.3408  2.1230  2.0231
 195  1.219371  3.6969  3.2930  0.9719  5.1223  3.0343  2.2910  2.0718  1.9709
 196  1.220037  3.6962  3.2687  0.9935  5.0820  2.9854  2.2390  2.0184  1.9162
 197  1.220691  3.6955  3.2439  1.0159  5.0384  2.9340  2.1847  1.9628  1.8596
 198  1.221333  3.6946  3.2173  1.0392  4.9974  2.8823  2.1291  1.9054  1.8009
 199  1.221966  3.6937  3.1905  1.0630  4.9541  2.8288  2.0719  1.8466  1.7407
 200  1.222583  3.6929  3.1624  1.0876  4.9102  2.7737  2.0127  1.7856  1.6784
 201  1.223188  3.6919  3.1338  1.1129  4.8654  2.7172  1.9522  1.7233  1.6146
 202  1.223776  3.6910  3.1039  1.1390  4.8211  2.6596  1.8901  1.6591  1.5488
 203  1.224349  3.6900  3.0733  1.1656  4.7762  2.6008  1.8265  1.5934  1.4816
 204  1.224899  3.6888  3.0416  1.1930  4.7306  2.5405  1.7611  1.5259  1.4122
 205  1.225432  3.6876  3.0090  1.2212  4.6849  2.4791  1.6943  1.4567  1.3412
 206  1.225946  3.6864  2.9754  1.2499  4.6404  2.4172  1.6265  1.3863  1.2688
 207  1.226444  3.6851  2.9412  1.2791  4.5961  2.3546  1.5577  1.3147  1.1951
 208  1.226921  3.6837  2.9060  1.3089  4.5523  2.2912  1.4877  1.2418  1.1201
 209  1.227377  3.6823  2.8702  1.3391  4.5084  2.2272  1.4167  1.1678  1.0437
